Source,Event ID,Time Created
Windows Error Reporting,1001,2022-09-23T15:54:46.9289959Z
Windows Error Reporting,1001,2022-09-23T15:54:47.0020029Z
Windows Error Reporting,1001,2022-09-23T15:54:47.1480172Z
Windows Error Reporting,1001,2022-09-23T15:54:47.2390201Z
Windows Error Reporting,1001,2022-09-23T15:54:47.2950258Z
Windows Error Reporting,1001,2022-09-23T15:54:51.9996735Z
Windows Error Reporting,1001,2022-09-23T15:54:53.4361352Z
asus,0,2022-09-23T15:54:58.8994454Z
edgeupdate,0,2022-09-23T15:55:35.3864907Z
Microsoft-Windows-Security-SPP,16394,2022-09-23T15:57:47.9753656Z
Microsoft-Windows-Security-SPP,16384,2022-09-23T15:58:23.4258033Z
Microsoft-Windows-Security-SPP,16394,2022-09-23T16:02:53.9299859Z
Microsoft-Windows-Security-SPP,16384,2022-09-23T16:03:29.4377667Z
Microsoft-Windows-Security-SPP,16394,2022-09-23T16:04:47.6528731Z
SecurityCenter,15,2022-09-23T16:04:47.9886932Z
Microsoft-Windows-Security-SPP,16384,2022-09-23T16:05:41.0258029Z
Microsoft-Windows-Security-SPP,16394,2022-09-23T16:05:52.1506389Z
SecurityCenter,15,2022-09-23T16:06:07.8373486Z
Microsoft-Windows-Security-SPP,16384,2022-09-23T16:06:22.6352137Z
Microsoft-Windows-Security-SPP,16394,2022-09-23T16:07:23.7742902Z
Microsoft-Windows-Security-SPP,16384,2022-09-23T16:07:58.1282125Z
Microsoft-Windows-Security-SPP,16394,2022-09-23T16:24:32.0499221Z
Microsoft-Windows-Security-SPP,16384,2022-09-23T16:25:07.1447631Z
Microsoft-Windows-Security-SPP,16394,2022-09-23T19:33:18.2439882Z
SecurityCenter,15,2022-09-24T15:46:14.3928985Z
Microsoft-Windows-Security-SPP,16384,2022-09-24T15:46:47.1354062Z
gupdate,0,2022-09-24T15:47:00.4132105Z
edgeupdate,0,2022-09-24T15:47:21.8795706Z
Microsoft-Windows-Security-SPP,16394,2022-09-24T15:49:02.0266601Z
Microsoft-Windows-Security-SPP,16384,2022-09-24T15:49:36.0614325Z
Microsoft-Windows-Security-SPP,16394,2022-09-24T15:49:39.7057017Z
Microsoft-Windows-Security-SPP,16384,2022-09-24T15:51:15.1462954Z
Microsoft-Windows-Security-SPP,16394,2022-09-24T15:52:48.7870572Z
Microsoft-Windows-Security-SPP,16384,2022-09-24T15:53:19.2278203Z
